"","University","Department","Professor","Course","Difficulty","Rating","Comments","Date","Unhelpful","Helpful","Grade"
"671","Western Illinois University","English","Tama Baldwin","CREATIVEWRITIN","4.0","4.5","No Comments",2005-10-23,"0","0",NA
"672","Western Illinois University","English","Tama Baldwin","CREATIVEWRITIN","3.0","1.0","she told me she would fail me no matter what i did. she was determined that i not pass her course regardless of my work. a year later, she had apparently forgot who i was when she told me that my poem was her favorite elements submission for that year. the same poem she had once refused to read.",2005-09-20,"0","0",NA
"673","Western Illinois University","English","Tama Baldwin","ENG285","3.0","4.5","A very fun professor to have.  Very very big laugh.",2005-07-10,"0","0",NA
"674","Western Illinois University","English","Tama Baldwin","ENG385","3.0","2.0","Must be a favorite to receive any type of help.  She will tell you to do something and when you do it, scold you for doing it.  She is more helpful toward men than women.",2005-05-10,"0","0",NA
"675","Western Illinois University","English","Tama Baldwin","ENG","4.0","5.0","There is not a day that goes by that I am not amazed at how much the writing workshop I took with this professor has helped my writing and my life.",2004-11-07,"0","0",NA
"676","Western Illinois University","English","Tama Baldwin","ENG285","3.0","5.0","She does an awesome job teaching this course.  The coursework is hard; she doesn't make it any more difficult on purpose.",2004-10-15,"0","0",NA
"677","Western Illinois University","English","Tama Baldwin","ENG485","1.0","5.0","talented writer with a great mind and she doesn't just pay attention to eng majors because she supported me in 285 without my being an Eng major.",2004-05-27,"0","0",NA
"678","Western Illinois University","English","Tama Baldwin","ENG285","3.0","4.0","Tama is a very unique individual with a great sense of humor.  I don't believe it's favoritism that makes the difference, but the amount of effort the student puts forth.  I'm sad she's going on Sabbatical for a year and a half.",2004-04-26,"0","0",NA
"679","Western Illinois University","English","Tama Baldwin","ENG285","5.0","4.5","She is very unique. I really enjoyed her workshops however. If you're looking for an easy class its not here. If you are looking to be a better writer, then she is great.",2004-04-21,"0","0",NA
"680","Western Illinois University","English","Tama Baldwin","WOMAN200","5.0","2.5","3 page paper for every class! enough said",2004-04-15,"0","0",NA
"681","Western Illinois University","English","Tama Baldwin","ENG285","2.0","3.0","Dr. Baldwin is a great poet and does a great job with critiquing while your in her workshops.  Afterwards, she simply will not make time for anyone who isn't an English major.  She should focus on brilliant writers who ask her for help.",2004-04-14,"0","0",NA
"682","Western Illinois University","English","Tama Baldwin","ENG387","2.0","5.0","Professional, fun, and helpful.",2004-03-28,"0","0",NA
"683","Western Illinois University","English","John Mann","SHAKSPEAR","2.0","5.0","he is a very nice man and really cares about you and your work. makes class a lot of fun and tries to bring up interesting things in class. im so glad i took this class i would recommend him as a teacher for everyone hes awesome and one of the nicest teachers ever!",2006-11-15,"0","0",NA
"684","Western Illinois University","English","John Mann","ENG238","1.0","4.5","Extreamly Compassonate. He is never bothered to help a student, he wants to. Great guy.",2006-05-26,"0","0",NA
"685","Western Illinois University","English","John Mann","POETRYWORKSHOP","1.0","5.0","Mann reminds me of Will Ferrell's impression of Harry Carey.  Nevertheless, he's a great guy who cares about his students in a way few other teachers on campus do.  He grades easily and doesn't give you a huge work load.  Class provides VERY interesting discussions, which will forever be memorable.  If you get the chance, take one of his courses.",2006-04-30,"0","0",NA
"686","Western Illinois University","English","John Mann","GH101","3.0","5.0","Very deep thinker who loves to help students!!!awesome get him if you can",2005-11-02,"0","0",NA
"687","Western Illinois University","English","John Mann","SHAKESPEARE","2.0","4.0","When I went to Western, this was the only class I never missed. Great times. Interesting man...Mr. Mann...he said a few odd things here and there to me, but I enjoyed his class SO MUCH!",2005-08-31,"0","0",NA
"688","Western Illinois University","English","John Mann","GH101","2.0","5.0","great teacher! very passionate in what he lectures on, funny and truly cares for all his students..not the hardest grader but you have to put thought in ur papers to get a good grade...would def take him again if i could!",2005-08-30,"0","0",NA
"689","Western Illinois University","English","John Mann","ENG385","3.0","1.5","No Comments",2005-08-30,"0","0",NA
"690","Western Illinois University","English","John Mann","ENG385","3.0","1.5","No Comments",2005-08-30,"0","0",NA
"691","Western Illinois University","English","John Mann","ENG385","2.0","1.5","No Comments",2005-08-30,"0","0",NA
"692","Western Illinois University","English","John Mann","ENG205238285","3.0","5.0","He's an interesting man(n). He knows so much about American Lit and is dying to share his knowledge with his students. He doesn't play favorites, his classes are relatively easy, and he gives everyone a chance to succeed. He's an overall outstanding professor.",2005-06-23,"0","0",NA
"693","Western Illinois University","English","John Mann","AMERICANLIT","3.0","4.5","Dr. Mann... flippin' genius.  My favorite teacher in the English dept.  He is humourous and loves his job.  He also loves essays so STAY AWAY if you can't write, otherwise, you'll do just fine.  He conducts well and is the most down-to-earth teacher you'll have. Bless his heart.",2005-01-25,"0","0",NA
"694","Western Illinois University","English","John Mann","ENGLISH285","2.0","4.0","Professor Mann is an interesting professor who goes to just about any length to make class fun.  He admits that sometimes a student may have a better idea of the material than he does.  He's also very friendly.  Recommended, but he likes to give writing assignments.",2005-01-20,"0","0",NA
"695","Western Illinois University","English","John Mann","GH101","2.0","4.5","Good teacher, kinda funny at times. A lot of reading required, books are boring and he's a tough grader but that can be expected in an honors class.  Overall I enjoyed him as a teacher, very nice guy and wiling to help",2004-12-17,"0","0",NA
"696","Western Illinois University","English","John Mann","ENG335","3.0","5.0","fabulous:  interested and responsive.  One of the best intructors at this institution.  Do yourself a favor and take this class.",2004-09-25,"0","0",NA
"697","Western Illinois University","English","John Mann","ENG285","2.0","5.0","Amazingly fun!",2004-08-09,"0","0",NA
"698","Western Illinois University","English","John Mann","ENG","1.0","5.0","In my opinion the best teacher at WIU. He is friendly and understanding, and his lectures are extremely interesting. I rate him ""very easy"" because I want him to have the best rating; he deserves it!",2004-04-16,"0","0",NA
"699","Western Illinois University","English","John Mann","ENG385","2.0","5.0","Professional, fun, and encouraging.",2004-03-28,"0","0",NA
"700","Western Illinois University","English","John Mann","ENG285","3.0","5.0","absolutely wonderful.",2003-09-10,"0","0",NA
"701","Western Illinois University","English","John Mann","AMERPOETRY","3.0","4.5","make comments in class and he will respond better to your papers.",2003-03-27,"0","0",NA
"702","Western Illinois University","English","John Mann","AMERLIT","4.0","2.5","Strict, Conservative, Does not allow for personal interpretation",2003-01-30,"0","0",NA
"703","SUNY Cobleskill","Culinary Arts","David Campbell","CHAT101","5.0","4.0","He is super sexy for an older man. He is funny but a bit blunt, you just have to have a thick skin and his classes are fun and you learn tons.",2010-05-12,"0","0",NA
"704","SUNY Cobleskill","Culinary Arts","David Campbell","CAHT320","4.0","1.5","had him for advanced catering.  not interested in what pointless information he preaches.  picks favorites and harasses people for no apparent reason.  not a big fan of the man.",2010-03-01,"0","0",NA
"705","SUNY Cobleskill","Culinary Arts","David Campbell","CAHT132","2.0","4.0","Gives one hell of a lecture, even at 8AM. Study your ass off for his tests; they're one step down from Sielaff. I hear he's tough in lab.",2009-06-02,"0","0",NA
"706","SUNY Cobleskill","Culinary Arts","David Campbell","FUND","2.0","4.0","Great teacher",2005-08-31,"0","0",NA
"707","SUNY Cobleskill","Culinary Arts","David Campbell","PURCHASINGFUND","3.0","4.5","great guy",2005-08-16,"1","0",NA
"708","SUNY Cobleskill","Culinary Arts","David Campbell","AMERICANPURCHA","4.0","4.0","very helpful teacher and brings alot of young influneces into the program",2005-03-20,"0","0",NA
"709","SUNY Cobleskill","Culinary Arts","David Campbell","PURCHASIMG","4.0","2.5","No Comments",2004-10-30,"0","0",NA
"710","Louisiana State University","Anthropology","Mary Manhein","ANTH2014","3.0","5.0","By far my favorite teacher and class at LSU. I wish I could take it again. Extremely interesting, but studying is defiantly a must so is attending class, although she doesn't take attendance. Plus you have to be able to stomach images of dead bodies. I would recommend it to anyone. You will not regret taking this class.",2014-01-23,"0","0",NA
"711","Louisiana State University","Anthropology","Mary Manhein","ANTH2014","2.0","4.5","Great professor, she's director of the FACES lab on campus so she will show cases shes done. Very interesting class and fairly easy. As long as you go to class or get notes you should do fine, exams are straight from her lectures.She also does bonus labs (not mandatory) throughout the semester which help with the information learned",2012-10-31,"0","0",NA
"712","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","4.5",":)",2007-10-17,"0","0",NA
"713","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","3.0","OK teacher. The exams were a little on the tough side, but not if you study hard.",2006-12-17,"0","0",NA
"714","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","1.5","VERY overrated.  Nice person, bad teacher.  Can't keep track of assignments and previous lectures, more interested in out of class endeavors.",2006-08-20,"0","0",NA
"715","Louisiana State University","Anthropology","Mary Manhein","FORENSICANT","1.0","1.5","Plays favorites.  Can't remember past instructions she's given.  Highly overrated as a graduate level professor.",2006-01-10,"0","0",NA
"716","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","1.0","5.0","Mary was one of the best teachers I ever had. She did a great job of keeping me interested in the subject, covering the syllabus and adding material her own fascinating field to motivate the students. She allowed me to volunteer in the physical anthropology lab which made the course even more relevant and interesting. A+",2005-12-02,"0","0",NA
"717","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","5.0","I love this professor. She's my reason for waking up on mon,wed, and fri.",2005-10-11,"0","0",NA
"718","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","5.0","An outstanding teacher!  She's very enthusiastic and interesting.  :-D",2005-02-24,"0","0",NA
"719","Louisiana State University","Anthropology","Mary Manhein","ANTHROPOLOGY","1.0","5.0","OMG!  Now attending SLU, but this was my all time favorite teacher from LSU.  Great at making you laugh and giving lectures.  Very easy to understand.  Test material comes straight from the notes.",2005-02-22,"0","0",NA
"720","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","2.0","4.5","Not bad, not bad....take the class",2004-11-08,"0","0",NA
"721","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","3.0","5.0","No Comments",2004-04-29,"0","0",NA
"722","Louisiana State University","Anthropology","Mary Manhein","ANT2006","5.0","1.0","No Comments",2004-04-12,"0","0",NA
"723","Louisiana State University","Anthropology","Mary Manhein","ANT2045","4.0","1.0","Mary Manhein is highly overrated amongst her peers, she dosen't even have a Ph.D",2004-03-24,"0","0",NA
"724","Louisiana State University","Anthropology","Mary Manhein","ANTH1001","2.0","5.0","She is sweet and funny.  Her exams come straight from the lectures.",2001-05-14,"0","0",NA
"725","Florida Atlantic University","Business","Susan Carter","ISM4212","5.0","1.0","Doesn't actually ""teach"" anything. One small error could be 20% of an assignment off. I had points taken away for something she later said was right, yet she refused to give me any credit back. Literally went around the room trying to encourage students to drop the course. Mentally ill and not fit for teaching. Disappointed in FAU over this class.",2017-12-06,"0","0",2
"726","Florida Atlantic University","Business","Susan Carter","ISM4212","4.0","2.0","Tough class. There's a semester long partner project. Get a RELIABLE partner, the project is A LOT of work. Recommend taking it with a friend. Hard grader, will take off for little things.  Tests hav 2 parts (multiple choice & written). Understand the project, written is based off it. Multi-choice is hard. Go to her office hrs for checking!",2017-01-13,"0","0",2.7
"727","Florida Atlantic University","Business","Susan Carter","ISM4212","4.0","1.0","She is a tough grader she isn't the most approachable person. Lectures are boring a vague.",2016-12-21,"0","0",1.7
"728","Florida Atlantic University","Business","Susan Carter","ISM4323","5.0","1.0","Probably the worst  professor I have ever taken in my entire academic career. Avoid at all costs.",2016-12-08,"0","10",NA
"729","Florida Atlantic University","Business","Susan Carter","ISM4323","5.0","1.0","If you're a fan of clarity look elsewhere.",2016-10-23,"0","8",NA
"730","Florida Atlantic University","Business","Susan Carter","ISM3011","5.0","1.0","She is one of the worst Teacher i have taken DO NOT TAKE It . She may look nice but she is mean. Her lecture is so boring she don't go over the materials well .",2016-04-14,"0","6",NA
"731","Florida Atlantic University","Business","Susan Carter","ISM4323","5.0","1.0","she is the hardest teacher i've ever taken. the course material is straight forward but her lack of teaching and off the wall test make her impossible to get a good grade. i'm an A student and i had to fight to get a B. i'd say avoid her but she is the only teacher FAU could get to offer these courses. just horrible",2016-03-25,"1","7",NA
"732","Florida Atlantic University","Business","Susan Carter","4323","5.0","2.5","Professor like this is what makes this school disappointing. She is the definition of a robot that doesn't understand much. How does a university only offer one teacher for a required course in a degree, who knows? i have taken her both online and offline and her teaching style doesn't exist. She is more of a information hole, not a teacher",2015-10-12,"0","3",NA
"733","Florida Atlantic University","Business","Susan Carter","DBMS","5.0","1.5","Took her twice for ISM3011 and ISM4212 (which she is the only who teaches this course) and I will never do it again. It is sad FAU does not give you much options for such a demanding class. The work is not outrageous however she gets aggravated when  students have questions regarding projects or important study material.",2015-07-07,"2","4",NA
"734","Florida Atlantic University","Business","Susan Carter","ISM3011","4.0","2.5","There are two projects, 4-5 online excel projects, 3 tests for the MIS part. You need to work way too much, and not learn. I expect to study and learn; however, the excel lab was ridiculous. She didn't teach anything. She had a student sit in front of the computer and tell him what to do. Entering bunch of numbers and expects you to learn from it.",2015-07-04,"0","1",2.7
"735","Florida Atlantic University","Business","Susan Carter","ISM4323","2.0","4.5","I don't know what the fuss is about, she was a nice professor if you ask me. The biggest killer is in getting the work done on time or rushing to get it done.  But if you make sure you READ what she is asking of you and answer ALL the questions in detail you will be fine. Her security class in not difficult , I actually liked it.",2015-04-24,"2","0",3.3
"736","Florida Atlantic University","Business","Susan Carter","ISM4323","5.0","1.5","Just a very un helpful teacher doesn't care about her students.",2014-11-13,"0","1",1.3
"737","Florida Atlantic University","Business","Susan Carter","ISM4212","4.0","1.5","One of the least helpful teachers to ever teach. Reads power-points to students. Gets bothered by questions and a very tough grader. She is the only one who teaches DBMS at FAU which leaves most with no choice but to take her if it is required for your major. I have had her for other classes too and she is just a poor professor. Avoid if possible!",2014-05-13,"0","3",NA
"738","Florida Atlantic University","Business","Susan Carter","ISM4212","5.0","2.0","I have never had a professor like her. Very awkward, does not like getting emailed, and grades harshly. Class consist of 1 term long project and 3 test. The only reason you take her is because no other professors are offered for ISM4212.  Did not have the best learning experience with her and other MIS students agree. Avoid if possible.",2014-04-28,"0","1",NA
"739","Florida Atlantic University","Business","Susan Carter","ISM4212","4.0","2.0","I got accepted into FAU's IT program! I was happy, then I got this lady. She is hyper-critical of my work, and grades me harshly. Two Projects I have had, and failed both, even after asking her for help on multiple chances. What I was penalized was miniscule, she got angry about differences of philosophies and styles of learning not actual mistakes",2014-04-14,"0","0",NA
"740","Florida Atlantic University","Business","Susan Carter","DBMS","5.0","1.5","Hate this woman, nuff said",2013-07-28,"0","0",NA
"741","Florida Atlantic University","Business","Susan Carter","ISM3011","4.0","4.5","I love Excel so I didn't think this class was too bad. My suggestion is work consistently on the projects. She is quite tough but if u finish both projects a week before they're due & have her look at it, it really helps. Lecture tests are not too bad. Most importantly, be sure to do Connect assignments, they're easy so its like a built in curve",2013-05-14,"0","0",NA
"742","Florida Atlantic University","Business","Susan Carter","ISM4212","5.0","1.0","DO NOT take her class unless you want to fail DBMS, the project is useless and tests are   tough,worst teacher ever!!",2013-04-04,"0","1",NA
"743","Florida Atlantic University","Business","Susan Carter","ISM3011","4.0","3.5","Class comes wit HUGE WORK LOAD. She comes off somewhat harsh but if u go to her, she's not too bad. Not to say she's not harsh, she most definitely is. Also somewhat rude.  Anywho, if u can find another professor, u probably should take them, if not & u just can't wait, take her but be prepared to work for ur grade and dont hope too high for an A",2012-11-06,"0","1",NA
"744","Florida Atlantic University","Business","Susan Carter","ISM3011","2.0","1.5","What a useless class. Ms. Carter seems to have no idea how to grade work and though everything was easy, she was practically useless. Textbooks were unnecessary, exams were easy and lab exams were open note. It was almost impossible to pay attention in class, as nothing she said was more than common sense or relevant. Good news: attendance optional",2012-05-02,"0","0",NA
"745","Florida Atlantic University","Business","Harold Kline","INTROPROG","1.0","4.0","was very available to answer questions",2005-08-24,"1","0",NA
"746","Florida Atlantic University","Business","Harold Kline","ISM3011","1.0","5.0","amazing teacher",2001-05-14,"0","0",NA
"747","University of Texas at San Antonio","Biology","Craig Jordan","BIO1023","2.0","5.0","His class can be a little boring but pay attention. He is nice but the font he uses may throw you off. His final test was very difficult so make sure you keep up with all the material he instructs you to read.",2017-01-10,"0","0",3
"748","University of Texas at San Antonio","Biology","Craig Jordan","BIO1414","3.0","4.0","He curves everything including the tests and final",2017-01-05,"0","0",3.3
"749","University of Texas at San Antonio","Biology","Craig Jordan","BIO1414","3.0","4.0","The largest part of your overall grade is the lab and the iclicker questions. Therefore GO TO CLASS TO GET ICLICKER CREDIT. The class isn't that difficult. The tests are group tests using the iclicker and are only worth about 10% of your grade. The lectures are pretty boring but he is a cool and easy bio professor. Just get iclicker points!!!",2017-01-05,"0","0",3.3
"750","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","1.0","5.0","Group exams, and attendance points",2016-04-25,"0","0",4.3
"751","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","4.0","3.5","Dr. Jordan is an extremely intelligent person. That being said, his class is not an easy A. Go to class. You'll fail otherwise. Look at his PowerPoints online BEFORE class to get easy points for his daily iClicker quizzes. His tests use a typewriter font that's distracting. The final was HARD. But, he explains things well. He doesn't use the book.",2015-05-14,"1","2",4
"752","University of Texas at San Antonio","Biology","Craig Jordan","1413","4.0","2.5","Okay teacher. You should watch the powerpoints before class, thats where the iclicker points come from. Horrible group project that is not explained well. Read the chapters and watch the powerpoint and youll do fine.",2014-12-25,"1","1",3.3
"753","University of Texas at San Antonio","Biology","Craig Jordan","1413","3.0","3.0","Dr. Jordan is a good guy & his lectures aren't to bad. His final was ridiculous it was really hard and it was not formatted like any normal final, he wrote it in that 'type writer' font & trust me its sounds like no big deal but it throws you way off. But I will say he does help you out and gives buffers. I would take him again. Beware of the final",2014-12-18,"1","0",NA
"754","University of Texas at San Antonio","Biology","Craig Jordan","1413","3.0","3.0","This was a hybrid course, so it was beyond long of a lecture when we had to meet, and he just talks the whole time. He pops up with iClicker questions throughout the lecture - sometimes. One thing I really didn't like was that he was always posting things on Blackboard, but he never made it clear exactly what to do with some of the material.",2014-12-02,"0","1",NA
"755","University of Texas at San Antonio","Biology","Craig Jordan","1413","4.0","4.0","study the  test bank  and you will be fine.. i clicker are the best part ever :)   simply, take him..",2014-11-06,"0","0",3
"756","University of Texas at San Antonio","Biology","Craig Jordan","BIO1043","3.0","5.0","LOVE THIS GUY, SO HELPFUL, NICE AND SHOW RESPECT TO HIS STUDENTS, MAKE SURE TO SHOW YOUR SELF DURING OFFICE HOURS.. TAKE HIME",2014-08-15,"0","1",3.3
"757","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","5.0","2.0","dr. Craig is a nice man, his lectures aren't very good and won't help much with the clicker points, he gives a huge curve that is enough to raise you from a C to a A.",2014-05-13,"4","1",4
"758","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","2.0","3.5","**Hybrid course** First semester he did this and I did not like it. Really nice man, interesting stories, but the way this class was structured is horrible. I don't feel like I've learned anything except how the earth was made and how ants mate. This class is easy if you get lucky by getting a smart group. Tests and quizzes through clicker w/group.",2014-05-05,"1","2",NA
"759","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","1.0","5.0","Hybrid class but if you study you will get an A. Its college,you can't expect to get by with just procrastinating or not actually studying.",2014-04-27,"1","0",3.3
"760","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","2.0","CLEAR ADVICE HERE: ABSOLUTELY DO NOT and i repeat DO NOT take this man if he is doing the hybrid course. Spends an hour talking about random stuff. On a 25 question iclicker TEST our class only got to do 11 bc he TALKED AFTER EVERY QUESTION. Take someone else or take it next semester.",2014-02-25,"0","0",NA
"761","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","4.0","5.0","Dr. Jordan is an amazing professor. He is extremely knowledgeable in his subject, brings front interesting stories that you will never hear before. Although his exams are extremely hard, he curves his exam 10-30 points. Attendance is somewhat important, because he does iClickers points. Final exam was done through iClicker, can work with peers.",2013-12-20,"0","0",NA
"762","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","4.5","This class is easier than biosciences I, and is more interesting. Dr. Jordan is a knowledgeable person. You get a ""cheat sheet"" (SOS) for 2 tests. Does iClicker questions, 1 point for participation and 2 if you get it right. I hardly touched the book and learned a couple things. Curves are given on the test. I would definitely recommend him!",2013-12-15,"0","0",NA
"763","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","4.5","Professor Jordan is amazing! Really enjoyed his lectures. Go to every class since there are iClicker quizzes. Take good notes since that makes up most of the test. Barely used the textbook. Studied for his tests by looking over notes, online tests, & ppts. He gives a lot of curves. Final was a bit difficult but manageable as long as you study.",2013-05-18,"0","0",NA
"764","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","4.0","Dr. Jordan is a great professor! He always had interesting stories to tell us in class. Make sure you go to class because attending class is the only way to get the material that will be on the tests. The textbook is pretty pointless. He is generous with curves because his exams are difficult. I hated Biosciences I but this class was fascinating!",2013-05-14,"0","0",NA
"765","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","3.5","Knowledgable instructor, but relatively irrelevant course content if you're headed the med school route. This class covers mostly evolutionary theory (e.g., how ants and plants evolved together, human ancestry, bird migratory patterns, how the Earth formed). Book is not necessary. Attendance is mandatory, pay attention to lecture. Just endure class",2013-05-13,"0","1",NA
"766","University of Texas at San Antonio","Biology","Craig Jordan","BIO1413","3.0","5.0","I absolutely loved Dr. Jordan. His lectures are soooo interesting! The iClicker is worth an easy 20% of your grade. Regularly attend class, it is worth it! To study for his tests, use the practice questions he posts and look online for other versions if you can =] Generous with his curves.",2013-04-30,"0","1",NA
"767","York University (all campuses)","Psychology","Peter Waxer","PSYC4170COUNS","4.0","2.5","Very smart man no doubt but very dry lectures. He is very direct with people too,if you don't have the grades you don't pass,simple as that.If you don't have the pre-req you get kicked out.Some interesting stories from his work experience though,that was the only thing I really enjoyed.Exams are hard,study lots!",2006-04-05,"0","0",NA
"768","York University (all campuses)","Psychology","Peter Waxer","1010","1.0","3.5","Because it was such a large class, a lot of the interaction and lectures were done with the TAs.  The lectures could get pretty dry, but on good days, they were extremely interesting also depending the topic.  I like him because he DOES center out the talkers in the class which shows that he DOES care about his students.  It was a fairly easy class",2006-01-14,"0","0",NA
"769","York University (all campuses)","Psychology","Peter Waxer","ABNORMALPSYCH","4.0","4.0","At first I was really disappointed in the prof, but after the first couple lectures he turned out to be pretty good. The lectures were very interesting and the tests were fair. The book was pretty interesting too.",2005-12-11,"0","0",NA
"770","York University (all campuses)","Psychology","Peter Waxer","COUNSELLING","4.0","1.5","*sigh* where do I begin?? waxer was one of the worst psych profs i've had. he just does seem to care about his students nor teaching...it's a shame.",2005-09-30,"0","0",NA
"771","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","2.0","4.5","This prof. had great lecturing skills (one of my favourite classes last year) and could keep my interest for an early morning 3 hour course! His lecture outlines were helpful and he used true stories to give insight into the material being learned. Very clear that anything could be on the test. Study a lot, show up to class, and you'll enjoy him!",2005-09-24,"0","0",NA
"772","York University (all campuses)","Psychology","Peter Waxer","PSYC1010","2.0","1.0","very arrogant and uncaring.. not a prof i would pick again!",2005-07-06,"0","0",NA
"773","York University (all campuses)","Psychology","Peter Waxer","PSYC4060","4.0","1.0","awful prof!! i was totally apalled with his boring/disorganized/jibberish lectures...and dont even get me started on his out-dated 1960s readings...shows that he's lazy & doesnt care about his students when he cant even revise the wayin which he teaches the course to keep up with the times, current research/theories & therapies...very disappointing",2005-07-04,"0","0",NA
"774","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","2.0","3.5","Explains concepts pretty clearly, often shows videos which add interest. You will have to pay close attention though and take many notes, because some obscure lecture info is on the tests. You will also have to study the textbook hard. All in all, he seemed like a funny, nice guy. I learned a lot and found psychology very interesting.",2005-06-22,"0","0",NA
"775","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","3.0","5.0","very good glass i enjoyed it! but i had to work REALLY hard!",2005-06-21,"0","0",NA
"776","York University (all campuses)","Psychology","Peter Waxer","PSYC1010","2.0","3.5","This prof is actually pretty funny and he loves to centre out the talkers, so watch out.  I managed to get an A and I only ever studied the night before.  It's not a hard clas...do the readings though...skimming the key areas in the text usually does the job.  Study guide is so helpful!  His test are also based on lectures, though, so be warned!",2005-06-14,"0","0",NA
"777","York University (all campuses)","Psychology","Peter Waxer","PSYC1010","2.0","5.0","Good Class. Informative and very interesting lectures.",2005-06-12,"0","0",NA
"778","York University (all campuses)","Psychology","Peter Waxer","INTROPSYC1010","3.0","1.0","Peter Waxer should not be aloud to teach, not only are his notes back dated from 100 years ago, he finds the subject of mental ilness funny and tries to make the class laugh about stories he tells while working in a clinic. He is also never able to answer any questions, and always tells you to ask the TA's, i would not recomend him to anyone.",2005-06-10,"0","0",NA
"779","York University (all campuses)","Psychology","Peter Waxer","1010","5.0","1.0","No Comments",2005-06-07,"0","0",NA
"780","York University (all campuses)","Psychology","Peter Waxer","COUNSELLING","5.0","1.0","wretched old man...enjoys making students suffer. he's boring, unapproachable, ridiculously pompous and SHOULD NOT BE TEACHING. i can understand having him for first yr psych might be bearable b/c of the t.a.'s, but DO NOT TAKE WAXER FOR ANY 4TH YR COURSES. YOU WILL PAY THE PRICE in every sense...half of my class dropped by january. nuff said.",2005-05-22,"0","0",NA
"781","York University (all campuses)","Psychology","Peter Waxer","PSYC1010","2.0","4.5","I actually like this prof a lot. His lectures were interesting, and he didnt lecture straight of the text. He added a lot of his own insight to the material which made it more interesing to listen too.",2005-05-10,"0","0",NA
"782","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","2.0","3.5","Professor Waxer made psychology seem like it would be hell but it was an awesome class.  His stories about patients, he has treated in the past, made the topics we were studying more understandable and made the class more interesting.",2005-05-08,"0","0",NA
"783","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","3.0","4.0","The best prof i've had so far.He seems like a really boring guy at first and his first test was a killer.Well,guess what??!!After the first test results were in i didn't have to come 30 minutes earlier anymore to get a sit.I loved his stories about drug addicts!!!He's well organized.overheads awsome",2005-04-08,"0","0",NA
"784","York University (all campuses)","Psychology","Peter Waxer","1010","3.0","4.0","At first he seemed like a jerk, but I think that was to get the losers to drop out. After two weeks I fell in love with his teaching",2005-04-02,"0","0",NA
"785","York University (all campuses)","Psychology","Peter Waxer","PSYCH1010","5.0","1.0","He just does not know when to SHUT UP!!!!!!!",2005-03-31,"0","0",NA
"786","York University (all campuses)","Psychology","Peter Waxer","PSYC1010","2.0","3.5","At first I found him boring, but the lectures got better. His real life examples about former patients are interesting. The research studies he discusses should be more current. The 4 multiple choice tests are quite fair. He doesn't come across as very friendly, but overall I would recommend him.",2005-03-23,"0","0",NA
"787","University of Missouri - Columbia","Communication","Michael Porter","COMM2100","3.0","3.5","Very knowledgeable, but a notable amount of the content is outdated. Course content doesn't keep up with the rate of change in the communications industry. Tests are intentionally tricky, which takes the focus off of learning the content. Lectures cover content that is mostly different from content in textbook, which is online by requirement.",2013-12-09,"0","0",NA
"788","University of Missouri - Columbia","Communication","Michael Porter","COMM2100","2.0","5.0","He has been, by far my favorite teacher in my major. I'm a communications major, and he really sparked my interest in mass communications and the media today.",2012-01-03,"0","0",NA
"789","University of Missouri - Columbia","Communication","Michael Porter","COMM2100","2.0","5.0","very entertaining, very helpful, have to work for an A but a great teacher",2011-05-16,"0","0",NA
"790","University of Missouri - Columbia","Communication","Michael Porter","COMM2100","3.0","5.0","He clearly enjoys teaching and lecturing. Even without the mic, his style makes you want to pay attention, as he is very in-your-face and does his best to make the somewhat boring course material more fun and entertaining than it has any right to be. Definitely recommend taking his class if you don't mind actually having to study for the exams.",2010-12-01,"0","0",NA
"791","University of Missouri - Columbia","Communication","Michael Porter","COMM2100","3.0","5.0","He's very entertaining during lecture and has a lot of enthusiasm for the subject, which helps a lot. Definitely not an easy A but do the study guides before the test and be prepared for similar (but differently worded) questions. I would definitely recommend this class if you're needing a 2000 level humanity.",2010-11-03,"0","0",NA
